iter	Passed	Remaining
0	1	1837
1	2	1143
2	2	882
3	3	786
4	3	716
5	4	663
6	4	633
7	4	600
8	5	576
9	5	563
10	6	551
11	6	541
12	7	545
13	7	533
14	7	524
15	8	521
16	8	512
17	9	503
18	9	494
19	9	487
20	10	487
21	10	488
22	11	485
23	11	487
24	12	482
25	12	478
26	13	475
27	13	472
28	13	467
29	14	465
30	14	464
31	15	463
32	15	463
33	16	466
34	16	463
35	17	461
36	17	458
37	18	456
38	18	452
39	18	452
40	19	450
41	19	448
42	20	447
43	20	445
44	20	443
45	21	442
46	21	440
47	22	437
48	22	436
49	22	434
50	23	432
51	23	431
52	24	431
53	24	429
54	25	430
55	25	429
56	25	429
57	26	429
58	26	428
59	27	428
60	27	426
61	28	425
62	28	424
63	28	423
64	29	422
65	29	420
66	30	419
67	30	417
68	30	417
69	31	415
70	31	415
71	32	415
72	32	415
73	33	413
74	33	412
75	33	412
76	34	411
77	34	410
78	35	410
79	35	409
80	36	408
81	36	406
82	36	403
83	36	402
84	37	400
85	37	400
86	38	399
87	38	399
88	38	398
89	39	398
90	39	399
91	40	400
92	41	400
93	41	399
94	41	398
95	42	397
96	42	396
97	43	396
98	43	395
99	43	395
100	44	394
101	44	394
102	45	400
103	46	400
104	47	400
105	47	400
106	47	400
107	48	399
108	48	398
109	49	398
110	49	397
111	50	397
112	50	396
113	50	396
114	51	395
115	51	394
116	52	393
117	52	392
118	52	391
119	53	391
120	53	391
121	54	390
122	54	390
123	55	390
124	55	390
125	56	389
126	56	388
127	56	387
128	57	388
129	57	387
130	58	387
131	58	387
132	59	386
133	59	386
134	60	385
135	60	384
136	60	383
137	61	383
138	61	383
139	62	383
140	62	382
141	62	380
142	63	379
143	63	378
144	64	378
145	64	378
146	65	377
147	65	378
148	66	377
149	66	376
150	66	376
151	67	375
152	67	374
153	68	373
154	68	373
155	68	372
156	69	372
157	69	372
158	70	371
159	70	372
160	71	371
161	71	370
162	71	369
163	72	368
164	72	368
165	73	367
166	73	367
167	74	366
168	74	366
169	74	365
170	75	365
171	75	364
172	76	364
173	76	363
174	76	362
175	77	362
176	77	361
177	78	361
178	78	360
179	79	360
180	79	359
181	79	359
182	80	358
183	80	358
184	81	357
185	81	357
186	82	357
187	82	356
188	82	355
189	83	355
190	83	354
191	84	354
192	84	354
193	85	353
194	85	353
195	86	352
196	86	352
197	86	352
198	87	351
199	87	351
200	88	351
201	88	350
202	89	349
203	89	349
204	89	348
205	90	348
206	90	347
207	91	346
208	91	346
209	92	346
210	92	345
211	92	344
212	93	344
213	93	344
214	94	344
215	94	343
216	95	343
217	95	342
218	95	341
219	96	341
220	96	341
221	97	340
222	97	339
223	97	339
224	98	338
225	98	338
226	99	337
227	99	337
228	99	336
229	100	336
230	100	336
231	101	335
232	101	335
233	102	334
234	102	334
235	103	334
236	103	333
237	103	332
238	104	332
239	104	332
240	105	331
241	105	331
242	106	330
243	106	330
244	106	329
245	107	329
246	107	328
247	108	328
248	108	328
249	109	327
250	109	327
251	109	326
252	110	325
253	110	325
254	111	324
255	111	324
256	112	323
257	112	323
258	112	322
259	113	322
260	113	321
261	114	321
262	114	320
263	114	320
264	115	319
265	115	319
266	116	319
267	116	318
268	117	318
269	117	317
270	117	317
271	118	316
272	118	316
273	119	315
274	119	314
275	119	314
276	120	314
277	120	313
278	121	312
279	121	312
280	121	311
281	122	311
282	122	310
283	123	310
284	123	309
285	123	309
286	124	308
287	124	308
288	125	307
289	125	307
290	125	306
291	126	305
292	126	305
293	126	304
294	127	304
295	127	303
296	128	303
297	128	302
298	128	301
299	129	301
300	129	300
301	130	300
302	130	300
303	130	299
304	131	299
305	131	298
306	132	298
307	132	297
308	133	297
309	133	296
310	133	296
311	134	295
312	134	295
313	135	295
314	135	294
315	135	294
316	136	293
317	136	293
318	137	292
319	137	292
320	137	291
321	138	291
322	138	290
323	139	290
324	139	290
325	140	289
326	140	289
327	140	288
328	141	288
329	141	287
330	142	287
331	142	286
332	142	286
333	143	286
334	143	285
335	144	284
336	144	284
337	145	283
338	145	283
339	145	283
340	146	282
341	146	282
342	147	281
343	147	281
344	147	280
345	148	280
346	148	279
347	149	279
348	149	278
349	149	278
350	150	277
351	150	277
352	150	276
353	151	276
354	151	275
355	152	275
356	152	274
357	152	274
358	153	273
359	153	273
360	154	273
361	154	272
362	155	272
363	155	271
364	155	271
365	156	270
366	156	270
367	157	269
368	157	269
369	157	268
370	158	268
371	158	267
372	159	267
373	159	267
374	160	266
375	160	266
376	160	265
377	161	265
378	161	264
379	161	264
380	162	263
381	162	263
382	163	262
383	163	262
384	164	262
385	164	261
386	164	261
387	165	260
388	165	260
389	166	259
390	166	259
391	166	258
392	167	258
393	167	257
394	167	257
395	168	256
396	168	256
397	169	256
398	169	255
399	169	254
400	170	254
401	170	254
402	171	253
403	171	253
404	171	252
405	172	252
406	172	251
407	173	251
408	173	250
409	173	250
410	174	249
411	174	249
412	175	248
413	175	248
414	175	247
415	176	247
416	176	246
417	176	246
418	177	245
419	177	245
420	178	244
421	178	244
422	178	244
423	179	243
424	179	242
425	180	242
426	180	241
